Name,URL,HTTP Status,Accessible,Load Time (ms),Size (KB),Mobile Score,A11y Score,Perf Score,Issues
"Civic Insight Engine","https://new-ashtabula-initiative.vercel.app/civic-insight/",200,True,100,0.9,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Permit Whisperer","https://new-ashtabula-initiative.vercel.app/permits/",200,True,110,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Screener","https://new-ashtabula-initiative.vercel.app/eligibility/",200,True,106,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Lite","https://new-ashtabula-initiative.vercel.app/eligibility-lite/",200,True,96,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Eligibility Pro","https://new-ashtabula-initiative.vercel.app/eligibility-pro/",200,True,96,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"License Wizard","https://new-ashtabula-initiative.vercel.app/license/",200,True,87,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Event Permit Express","https://new-ashtabula-initiative.vercel.app/event-permit/",200,True,188,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Zoning Clerk","https://new-ashtabula-initiative.vercel.app/zoning/",200,True,190,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"GovTech Box","https://new-ashtabula-initiative.vercel.app/govtech/",200,True,159,0.7,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"GrantGenius","https://new-ashtabula-initiative.vercel.app/grantgenius/",200,True,219,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Invest Ashtabula","https://new-ashtabula-initiative.vercel.app/invest/",200,True,93,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Blueprint Analyzer","https://new-ashtabula-initiative.vercel.app/blueprint/",200,True,151,0.8,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"Box Builder","https://new-ashtabula-initiative.vercel.app/box-builder/",200,True,172,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"BoxFlow Estimator","https://new-ashtabula-initiative.vercel.app/boxflow/",200,True,94,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
"CashFlow Tracker","https://new-ashtabula-initiative.vercel.app/cashflow/",200,True,95,0.5,80,90,100,"No H1 heading found; No responsive CSS patterns detected"
