slug,site,route,category,canonical_target,observed_target,target_alignment,bucket,overall_status,branding_status,design_score,branding_score,clarity_score,white_label_fit,branding_work_remaining,branding_refinement_score,has_research,has_brandkit,has_emails,artifact_score,priority_score
boat-storage,Boat Storage Waitlist,https://new-ashtabula-initiative.vercel.app/boat-storage/,❤️ Health & Social Services (6 sites),Geneva Marina,Geneva Marina,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
dirt-quote,Instant Dirt Quote,https://new-ashtabula-initiative.vercel.app/dirt-quote/,🏠 Home & Property (9 sites),Brockway's Topsoil,Brockway's Topsoil,True,ready_to_pitch,excellent,branded,9,9,10,7,1,1,True,True,True,3,34.25
eligibility,Eligibility Screener,https://new-ashtabula-initiative.vercel.app/eligibility/,🏛️ Government & Civic (9 sites),Ashtabula County Department of Job and Family Services,Ashtabula County Department of Job and Family Services,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
grocer,Local Grocer Go,https://new-ashtabula-initiative.vercel.app/grocer/,🏠 Home & Property (9 sites),Harbor Gardens,Harbor Gardens,True,ready_to_pitch,excellent,branded,9,9,10,7,1,1,True,True,True,3,34.25
hvac,HVAC Tuneup,https://new-ashtabula-initiative.vercel.app/hvac/,🏠 Home & Property (9 sites),"HAVE Heating and Cooling (HAVE, Inc.)",HAVE Heating and Cooling,True,ready_to_pitch,excellent,branded,9,9,10,6,1,1,True,True,True,3,34.25
insta-book,Insta Book,https://new-ashtabula-initiative.vercel.app/insta-book/,🛒 Local Services (12 sites),The Lakehouse Inn,The Lakehouse Inn,True,ready_to_pitch,excellent,branded,9,9,10,4,1,1,True,True,True,3,34.25
lawn,Lawn Quote Tool,https://new-ashtabula-initiative.vercel.app/lawn/,💼 Business & Investment (7 sites),MC Professional Lawn Care and Snow Plowing,MC Professional Lawn Care and Snow Plowing,True,ready_to_pitch,excellent,branded,9,9,10,4,1,1,True,True,True,3,34.25
marina,Marina Slip Waitlist,https://new-ashtabula-initiative.vercel.app/marina/,🚛 Transportation & Logistics (6 sites),Harbor Yacht Club & Marina,Harbor Yacht Club & Marina,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
notary,Mobile Notary,https://new-ashtabula-initiative.vercel.app/notary/,🏠 Home & Property (9 sites),Notes and Prints Mobile,Notes and Prints Mobile Notary,True,ready_to_pitch,excellent,branded,9,9,10,4,1,1,True,True,True,3,34.25
parcelvisor,ParcelVisor,https://new-ashtabula-initiative.vercel.app/parcelvisor/,🏪 Additional Business Sites (14 sites),Ashtabula County Land Reutilization Corporation (AC Land Bank),Ashtabula County Land Reutilization Corporation,True,ready_to_pitch,excellent,branded,9,9,10,7,1,1,True,True,True,3,34.25
