Name,URL,HTTP Status,Actual Status
"Civic Insight Engine","https://new-ashtabula-initiative.vercel.app/civic-insight/",200,UNKNOWN
"Permit Whisperer","https://new-ashtabula-initiative.vercel.app/permits/",200,UNKNOWN
"Eligibility Screener","https://new-ashtabula-initiative.vercel.app/eligibility/",200,UNKNOWN
"Eligibility Lite","https://new-ashtabula-initiative.vercel.app/eligibility-lite/",200,UNKNOWN
"Eligibility Pro","https://new-ashtabula-initiative.vercel.app/eligibility-pro/",200,UNKNOWN
"License Wizard","https://new-ashtabula-initiative.vercel.app/license/",200,REDIRECT_TO_MAIN
"Event Permit Express","https://new-ashtabula-initiative.vercel.app/event-permit/",200,REDIRECT_TO_MAIN
"Zoning Clerk","https://new-ashtabula-initiative.vercel.app/zoning/",200,REDIRECT_TO_MAIN
"GovTech Box","https://new-ashtabula-initiative.vercel.app/govtech/",200,REDIRECT_TO_MAIN
"GrantGenius","https://new-ashtabula-initiative.vercel.app/grantgenius/",200,UNKNOWN
"Invest Ashtabula","https://new-ashtabula-initiative.vercel.app/invest/",200,UNKNOWN
"Blueprint Analyzer","https://new-ashtabula-initiative.vercel.app/blueprint/",200,REDIRECT_TO_MAIN
"Box Builder","https://new-ashtabula-initiative.vercel.app/box-builder/",200,UNKNOWN
"BoxFlow Estimator","https://new-ashtabula-initiative.vercel.app/boxflow/",200,REDIRECT_TO_MAIN
"CashFlow Tracker","https://new-ashtabula-initiative.vercel.app/cashflow/",200,REDIRECT_TO_MAIN
"Parts Finder","https://new-ashtabula-initiative.vercel.app/parts/",200,UNKNOWN
"Parts Request","https://new-ashtabula-initiative.vercel.app/parts-request/",404,ERROR_404
"Plating Tracker","https://new-ashtabula-initiative.vercel.app/plating/",200,UNKNOWN
"Plating Tracker Pro","https://new-ashtabula-initiative.vercel.app/plating-pro/",404,ERROR_404
"Contractor Match","https://new-ashtabula-initiative.vercel.app/contractors/",200,UNKNOWN
"Fence Quote","https://new-ashtabula-initiative.vercel.app/fence-quote/",200,UNKNOWN
"Landlord Repair Queue","https://new-ashtabula-initiative.vercel.app/landlord/",200,REDIRECT_TO_MAIN
"Lawn Quote Tool","https://new-ashtabula-initiative.vercel.app/lawn/",200,REDIRECT_TO_MAIN
"HVAC Tuneup","https://new-ashtabula-initiative.vercel.app/hvac/",200,REDIRECT_TO_MAIN
"Snow Plow Tracker","https://new-ashtabula-initiative.vercel.app/snow-plow/",200,REDIRECT_TO_MAIN
"Instant Dirt Quote","https://new-ashtabula-initiative.vercel.app/dirt-quote/",200,REDIRECT_TO_MAIN
"Rental Availability","https://new-ashtabula-initiative.vercel.app/rental/",200,REDIRECT_TO_MAIN
"Adaptive Reuse Planner","https://new-ashtabula-initiative.vercel.app/adaptive-reuse/",200,REDIRECT_TO_MAIN
"Engineer's Assistant","https://new-ashtabula-initiative.vercel.app/engineers/",200,REDIRECT_TO_MAIN
"Local Grocer Go","https://new-ashtabula-initiative.vercel.app/grocer/",200,UNKNOWN
"Curbside Pickup Tracker","https://new-ashtabula-initiative.vercel.app/curbside/",200,REDIRECT_TO_MAIN
"Farm Stand Finder","https://new-ashtabula-initiative.vercel.app/farm-stand/",200,REDIRECT_TO_MAIN
"Mobile Notary","https://new-ashtabula-initiative.vercel.app/notary/",200,REDIRECT_TO_MAIN
"Auto Detail Booking","https://new-ashtabula-initiative.vercel.app/auto-detail/",200,REDIRECT_TO_MAIN
"Truck Wash Booking","https://new-ashtabula-initiative.vercel.app/truck-wash/",200,REDIRECT_TO_MAIN
"Service Scheduler","https://new-ashtabula-initiative.vercel.app/scheduler/",200,REDIRECT_TO_MAIN
"Service Scheduler SMS","https://new-ashtabula-initiative.vercel.app/scheduler-sms/",200,REDIRECT_TO_MAIN
"Insta Book","https://new-ashtabula-initiative.vercel.app/insta-book/",200,UNKNOWN
"Insta Book Stripe","https://new-ashtabula-initiative.vercel.app/insta-book-stripe/",404,ERROR_404
"Virtual Concierge","https://new-ashtabula-initiative.vercel.app/concierge/",200,REDIRECT_TO_MAIN
"Visitor Parking Finder","https://new-ashtabula-initiative.vercel.app/parking/",200,REDIRECT_TO_MAIN
"MyTrip Planner","https://new-ashtabula-initiative.vercel.app/mytrip/",200,REDIRECT_TO_MAIN
"MyTrip Export","https://new-ashtabula-initiative.vercel.app/mytrip-export/",200,REDIRECT_TO_MAIN
"Route Optimizer","https://new-ashtabula-initiative.vercel.app/routes/",200,REDIRECT_TO_MAIN
"Ride Ready","https://new-ashtabula-initiative.vercel.app/ride-ready/",200,UNKNOWN
"Charter Booking","https://new-ashtabula-initiative.vercel.app/charter/",200,REDIRECT_TO_MAIN
